batch_size,co2_emissions_kg,emissions,emissions_rate,energy_consumed,model,power_consumption_kwh,precision,runtime_seconds,timestamp,tool
4,N/A,3.518023813238051e-06,N/A,N/A,logreg,N/A,fp32,0.517789363861084,2025-11-30T23:24:29.580161,codecarbon
4,N/A,5.59403514501073e-06,N/A,N/A,logreg,N/A,fp16,0.8338406085968018,2025-11-30T23:24:33.888815,codecarbon
16,N/A,3.33299516318827e-06,N/A,N/A,logreg,N/A,fp32,0.4918355941772461,2025-11-30T23:24:38.117978,codecarbon
16,N/A,5.123764821561456e-06,N/A,N/A,logreg,N/A,fp16,0.756507158279419,2025-11-30T23:24:42.462877,codecarbon
64,N/A,6.46479393418855e-06,N/A,N/A,logreg,N/A,fp32,0.9596045017242432,2025-11-30T23:24:46.970402,codecarbon
64,N/A,3.389873788056726e-06,N/A,N/A,logreg,N/A,fp16,0.48591184616088867,2025-11-30T23:24:50.994152,codecarbon
256,N/A,3.3277700334712177e-06,N/A,N/A,logreg,N/A,fp32,0.4994547367095947,2025-11-30T23:24:54.810178,codecarbon
256,N/A,6.299209658413293e-06,N/A,N/A,logreg,N/A,fp16,0.9487924575805664,2025-11-30T23:24:59.254100,codecarbon
4,2.612120669436518e-06,N/A,N/A,N/A,logreg,7.789237123711101e-06,fp32,0.4834270477294922,2025-11-30T23:25:03.559734,eco2ai
4,2.7666458830716548e-06,N/A,N/A,N/A,logreg,8.250024997977201e-06,fp16,0.44503021240234375,2025-11-30T23:25:07.624810,eco2ai
16,2.8700840587566497e-06,N/A,N/A,N/A,logreg,8.558473412126583e-06,fp32,0.8712964057922363,2025-11-30T23:25:12.199434,eco2ai
16,3.404806387589889e-06,N/A,N/A,N/A,logreg,1.0152993551781389e-05,fp16,0.5786123275756836,2025-11-30T23:25:16.479798,eco2ai
64,3.0200788519741854e-06,N/A,N/A,N/A,logreg,9.005751757787938e-06,fp32,0.4780716896057129,2025-11-30T23:25:20.694613,eco2ai
64,2.9910385557369513e-06,N/A,N/A,N/A,logreg,8.919154780787092e-06,fp16,0.5007851123809814,2025-11-30T23:25:25.174540,eco2ai
256,2.9138909185072055e-06,N/A,N/A,N/A,logreg,8.689103678268093e-06,fp32,0.48747825622558594,2025-11-30T23:25:29.234443,eco2ai
256,3.1074479581403324e-06,N/A,N/A,N/A,logreg,9.266282863099247e-06,fp16,0.5036153793334961,2025-11-30T23:25:33.394244,eco2ai
4,N/A,0.00015987930707574366,N/A,N/A,forest,N/A,fp32,24.48929715156555,2025-11-30T23:26:01.765873,codecarbon
4,N/A,0.00015433830654465396,N/A,N/A,forest,N/A,fp16,23.700154542922974,2025-11-30T23:26:28.788678,codecarbon
16,N/A,0.00015753703261515569,N/A,N/A,forest,N/A,fp32,24.253410577774048,2025-11-30T23:26:56.353693,codecarbon
16,N/A,0.00015587753905487855,N/A,N/A,forest,N/A,fp16,24.01887035369873,2025-11-30T23:27:23.686961,codecarbon
64,N/A,0.00015085820918177878,N/A,N/A,forest,N/A,fp32,23.25588822364807,2025-11-30T23:27:50.916402,codecarbon
64,N/A,0.00016013009184944756,N/A,N/A,forest,N/A,fp16,24.743525743484497,2025-11-30T23:28:19.081304,codecarbon
256,N/A,0.00015769845690303015,N/A,N/A,forest,N/A,fp32,24.37280511856079,2025-11-30T23:28:46.794253,codecarbon
256,N/A,0.00015712251611123127,N/A,N/A,forest,N/A,fp16,24.30709195137024,2025-11-30T23:29:14.494808,codecarbon
4,7.643773267751015e-05,N/A,N/A,N/A,forest,0.00022793419614584805,fp32,23.74305534362793,2025-11-30T23:29:42.761800,eco2ai
4,7.777643128764464e-05,N/A,N/A,N/A,forest,0.00023192614071162858,fp16,23.178678274154663,2025-11-30T23:30:09.666640,eco2ai
16,8.083064141886846e-05,N/A,N/A,N/A,forest,0.00024103367054977915,fp32,24.406432151794434,2025-11-30T23:30:37.695094,eco2ai
16,7.972343549411211e-05,N/A,N/A,N/A,forest,0.00023773202771466262,fp16,23.519856452941895,2025-11-30T23:31:04.883311,eco2ai
64,7.87610374688694e-05,N/A,N/A,N/A,forest,0.00023486219612008167,fp32,24.68110179901123,2025-11-30T23:31:33.835041,eco2ai
64,8.06993023832239e-05,N/A,N/A,N/A,forest,0.00024064202291105975,fp16,24.298099517822266,2025-11-30T23:32:01.773644,eco2ai
256,8.201766530025226e-05,N/A,N/A,N/A,forest,0.00024457332727076864,fp32,25.493242502212524,2025-11-30T23:32:31.010655,eco2ai
256,8.113447480733234e-05,N/A,N/A,N/A,forest,0.0002419396893017216,fp16,25.10468816757202,2025-11-30T23:33:00.359642,eco2ai
